grabNumber,grabMsec,episode,nord,east,alt,yaw
186,38905,new.004.001.,59.9588295761038,30.345178495627078,7.954322420230989,-3.5145437777111264
187,39030,new.004.001.,59.958830669508124,30.345178391738294,8.018191019770365,-3.484146438602952
188,39155,new.004.001.,59.95882721005843,30.34517582522888,8.027241112880365,-3.4745243759332407
189,39280,new.004.001.,59.95882248807774,30.345172582004103,8.020866413624487,-3.4748352044924173
190,39405,new.004.001.,59.95881828480051,30.345169629166843,8.019546311351185,-3.476426750750103
191,39530,new.004.001.,59.958813784043045,30.345166547414905,8.016195425666972,-3.4706900443895328
192,39655,new.004.001.,59.95880946736158,30.34516359713268,8.016281684013668,-3.470173540004475
193,39780,new.004.001.,59.95880504927855,30.34516045631363,8.016290953709088,-3.484544639610051
194,39905,new.004.001.,59.95880066798642,30.345157422039236,8.016193666855475,-3.4731574832888916
195,40030,new.004.001.,59.9587964871727,30.345154501852946,8.011916432701268,-3.474559726842595
196,40155,new.004.001.,59.95879212653107,30.345151347867983,8.008486633163347,-3.4847107776510695
197,40280,new.004.001.,59.9587875734716,30.34514827497493,8.010141381191653,-3.4694773600738653
198,40405,new.004.001.,59.95878326335476,30.345145211870737,8.003195789452066,-3.487021138568155
199,40530,new.004.001.,59.958778949003175,30.345142214782374,7.995494255433359,-3.4797325809116213
200,40655,new.004.001.,59.95877439109899,30.345138951324707,7.994173538037426,-3.481339323973334
201,40780,new.004.001.,59.95877002109441,30.34513583535753,7.9948650854188825,-3.481250145558041
202,40905,new.004.001.,59.95876563090471,30.345132832949513,7.98918808579434,-3.478221540369835
203,41030,new.004.001.,59.958761321359084,30.345129758733258,7.986965685408459,-3.483771464549608
204,41155,new.004.001.,59.95875708670319,30.345126951511286,7.984369535296598,-3.466640118384389
205,41280,new.004.001.,59.95875233594256,30.34512336788024,7.978293708936619,-3.4936669369699955
206,41405,new.004.001.,59.95874805378019,30.345120546428724,7.97737913039948,-3.4722481990400955
207,41530,new.004.001.,59.958743421899456,30.345117290754356,7.969157279527815,-3.4803663880658773
208,41655,new.004.001.,59.95873889876753,30.34511405741711,7.965472032883306,-3.47815021787093
209,41780,new.004.001.,59.95873443471611,30.34511094578953,7.966932535338079,-3.4813370677830062
210,41905,new.004.001.,59.958729736477714,30.345107643879107,7.961758949448544,-3.4789628741951053
211,42030,new.004.001.,59.95872531471106,30.345104515576594,7.960906121665772,-3.4756019209342006
212,42155,new.004.001.,59.95872029128261,30.34510113446675,7.954939796506926,-3.478232418053342
213,42280,new.004.001.,59.95871562829153,30.345097843143815,7.947887588612266,-3.4768981474736105
214,42405,new.004.001.,59.9587108728161,30.345094687096108,7.953129999612581,-3.4662456050205055
215,42530,new.004.001.,59.95870586344239,30.345091333255944,7.957560778712129,-3.4601578893237677
216,42655,new.004.001.,59.95870083516367,30.345087797690216,7.950727962836812,-3.480864339167313
217,42780,new.004.001.,59.95869591554562,30.34508415820459,7.9600040020475005,-3.4886225590022337
218,42905,new.004.001.,59.958690755305376,30.345080628992317,7.951863923153063,-3.4760978235829354
219,43030,new.004.001.,59.958685852517604,30.34507707745744,7.95328772495744,-3.489265876605328
220,43155,new.004.001.,59.958680680588145,30.345073376502935,7.942853226205138,-3.483247060066884
221,43280,new.004.001.,59.958675480835474,30.345069747164523,7.942740422869937,-3.473610437334569
222,43405,new.004.001.,59.958669801866904,30.345065785590702,7.93314954655631,-3.483731661178893
223,43530,new.004.001.,59.95866444121933,30.345062041591003,7.927773511552623,-3.4742613934394457
224,43655,new.004.001.,59.95865902193334,30.34505827142165,7.921595091510378,-3.474275346068038
225,43780,new.004.001.,59.95865357462675,30.34505432276769,7.922756957852369,-3.4877607892848723
226,43905,new.004.001.,59.95864795812669,30.345050384728317,7.909295528739588,-3.480994029824878
227,44030,new.004.001.,59.9586426965844,30.345046593548147,7.907302076662329,-3.4861221212559848
228,44155,new.004.001.,59.95863719793473,30.34504277072744,7.90167444134287,-3.477686876914314
229,44280,new.004.001.,59.95863156575254,30.34503893268105,7.889501321942901,-3.4757744610040846
230,44405,new.004.001.,59.958626249030814,30.345035107264007,7.870618103596356,-3.486175404218135
231,44530,new.004.001.,59.958620731536804,30.345031123674456,7.857226394564224,-3.484281906488739
232,44655,new.004.001.,59.95861506165612,30.345027299079515,7.849144423305667,-3.4719652732550577
233,44780,new.004.001.,59.958609502167285,30.345023246040242,7.840352084472956,-3.4861057831744575
234,44905,new.004.001.,59.9586038359123,30.34501943633962,7.8321044842672745,-3.4729769467132994
235,45030,new.004.001.,59.95859859686213,30.345015836609218,7.82603622117364,-3.472374563701604
236,45155,new.004.001.,59.95859293821796,30.345011917732336,7.8212279788472445,-3.476016484638771
237,45280,new.004.001.,59.95858753839717,30.345008014109006,7.811865431785918,-3.480676840218378
238,45405,new.004.001.,59.95858175485264,30.34500411487635,7.809857379615479,-3.4688415005539017
239,45530,new.004.001.,59.9585761242265,30.345000241745097,7.79981236136028,-3.4745943591306334
240,45655,new.004.001.,59.958570502542415,30.344996407378652,7.794305698072297,-3.4703934392413696
241,45780,new.004.001.,59.958564799994676,30.34499238598385,7.791002435165476,-3.482136161500873
242,45905,new.004.001.,59.95855935497905,30.34498852502519,7.784725952711187,-3.477157744281573
243,46030,new.004.001.,59.9585539809914,30.344984863064024,7.78161454079424,-3.4693364442882695
244,46155,new.004.001.,59.95854835563346,30.344980953841162,7.777189820297098,-3.4779710007960607
245,46280,new.004.001.,59.95854271692561,30.344976953388247,7.773539647134998,-3.4808363136017904
246,46405,new.004.001.,59.95853728437733,30.344973181821135,7.7691184857974,-3.4729750139433317
